iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
665	265	295	265	340	265	295	340
666	265	295	265	340	265	295	340
667	265	295	265	340	265	295	340
668	265	295	265	340	265	295	340
669	265	295	265	340	265	295	340
670	265	295	265	340	265	295	340
671	265	295	265	340	265	295	340
672	265	296	265	340	265	296	340
673	265	295	265	340	265	295	340
674	265	295	265	340	265	295	340
675	265	295	265	340	265	295	340
676	265	295	265	340	265	295	340
677	265	295	265	340	265	295	340
678	265	295	265	340	265	295	340
679	265	295	265	340	265	295	340
680	265	296	265	340	265	296	340
681	267	298	267	340	267	298	340
682	267	298	267	340	267	298	340
683	267	298	267	340	267	298	340
684	267	298	267	340	267	298	340
685	267	298	267	340	267	298	340
686	267	298	267	340	267	298	340
687	267	298	267	340	267	298	340
688	267	298	267	340	267	298	340
689	267	298	267	340	267	298	340
690	267	298	267	340	267	298	340
691	267	298	267	340	267	298	340
692	267	298	267	340	267	298	340
693	267	298	267	340	267	298	340
694	267	298	267	340	267	298	340
695	267	298	267	340	267	298	340
696	265	296	265	340	265	296	340
697	265	296	265	340	265	296	340
698	265	296	265	340	265	296	340
699	265	296	265	340	265	296	340
700	265	296	265	340	265	296	340
701	265	296	265	340	265	296	340
702	265	296	265	340	265	296	340
703	265	296	265	340	265	296	340
704	265	296	265	340	265	296	340
705	265	296	265	340	265	296	340
706	265	296	265	340	265	296	340
707	266	297	266	340	266	297	340
708	266	297	266	340	266	297	340
709	266	297	266	340	266	297	340
710	266	297	266	340	266	297	340
711	265	296	265	340	265	296	340
712	265	295	265	340	265	295	340
713	265	296	265	340	265	296	340
714	264	294	264	340	264	294	340
715	264	294	264	340	264	294	340
716	265	296	265	340	265	296	340
717	265	295	265	340	265	295	340
718	265	295	265	340	265	295	340
719	265	295	265	340	265	295	340
720	265	296	265	340	265	296	340
721	266	297	266	340	266	297	340
722	266	297	266	340	266	297	340
723	266	297	266	340	266	297	340
724	266	297	266	340	266	297	340
725	266	296	266	340	266	296	340
726	266	296	266	340	266	296	340
727	266	296	266	340	266	296	340
728	266	296	266	340	266	296	340
729	266	296	266	340	266	296	340
730	266	296	266	340	266	296	340
731	266	296	266	340	266	296	340
732	266	296	266	340	266	296	340
733	266	296	266	340	266	296	340
734	266	296	266	340	266	296	340
735	266	296	266	340	266	296	340
736	266	296	266	340	266	296	340
737	266	296	266	340	266	296	340
738	266	296	266	340	266	296	340
739	266	296	266	340	266	296	340
740	266	296	266	340	266	296	340
741	266	296	266	340	266	296	340
742	266	296	266	340	266	296	340
743	266	296	266	340	266	296	340
744	266	296	266	340	266	296	340
745	266	296	266	340	266	296	340
746	266	296	266	340	266	296	340
747	266	296	266	340	266	296	340
748	266	296	266	340	266	296	340
749	266	296	266	340	266	296	340
750	266	296	266	340	266	296	340
751	266	296	266	340	266	296	340
752	266	296	266	340	266	296	340
753	266	296	266	340	266	296	340
754	264	294	264	340	264	294	340
755	264	294	264	340	264	294	340
756	264	294	264	340	264	294	340
757	266	296	266	340	266	296	340
758	266	296	266	340	266	296	340
759	266	296	266	340	266	296	340
760	266	296	266	340	266	296	340
761	266	296	266	340	266	296	340
762	266	296	266	340	266	296	340
763	266	296	266	340	266	296	340
764	266	296	266	340	266	296	340
765	266	296	266	340	266	296	340
766	266	296	266	340	266	296	340
767	266	296	266	340	266	296	340
768	266	296	266	340	266	296	340
769	266	296	266	340	266	296	340
770	266	296	266	340	266	296	340
771	266	296	266	340	266	296	340
772	266	296	266	340	266	296	340
773	266	296	266	340	266	296	340
774	266	296	266	340	266	296	340
775	266	296	266	340	266	296	340
776	266	296	266	340	266	296	340
777	266	296	266	340	266	296	340
778	266	296	266	340	266	296	340
779	266	296	266	340	266	296	340
780	266	296	266	340	266	296	340
781	266	296	266	340	266	296	340
782	266	296	266	340	266	296	340
783	266	296	266	340	266	296	340
784	266	296	266	340	266	296	340
785	266	296	266	340	266	296	340
786	266	296	266	340	266	296	340
787	266	296	266	340	266	296	340
788	266	296	266	340	266	296	340
789	266	296	266	340	266	296	340
790	266	296	266	340	266	296	340
791	266	296	266	340	266	296	340
792	266	296	266	340	266	296	340
793	266	296	266	340	266	296	340
794	266	296	266	340	266	296	340
795	266	296	266	340	266	296	340
796	266	296	266	340	266	296	340
797	266	296	266	340	266	296	340
798	266	296	266	340	266	296	340
799	266	296	266	340	266	296	340
800	266	296	266	340	266	296	340
801	264	294	264	340	264	294	340
802	264	294	264	340	264	294	340
803	266	296	266	340	266	296	340
804	264	294	264	340	264	294	340
805	264	294	264	340	264	294	340
806	264	294	264	340	264	294	340
807	264	294	264	340	264	294	340
808	264	294	264	340	264	294	340
809	264	294	264	340	264	294	340
810	264	294	264	340	264	294	340
811	264	294	264	340	264	294	340
812	264	294	264	340	264	294	340
813	264	294	264	340	264	294	340
814	264	294	264	340	264	294	340
815	263	293	263	340	263	293	340
816	266	296	266	340	266	296	340
817	266	296	266	340	266	296	340
818	266	296	266	340	266	296	340
819	266	296	266	340	266	296	340
820	266	296	266	340	266	296	340
821	266	296	266	340	266	296	340
822	266	296	266	340	266	296	340
823	266	296	266	340	266	296	340
824	266	296	266	340	266	296	340
825	266	296	266	340	266	296	340
826	266	296	266	340	266	296	340
827	266	296	266	340	266	296	340
828	266	296	266	340	266	296	340
829	266	296	266	340	266	296	340
830	266	296	266	340	266	296	340
831	266	296	266	340	266	296	340
832	266	296	266	340	266	296	340
833	266	296	266	340	266	296	340
834	266	296	266	340	266	296	340
835	266	296	266	340	266	296	340
836	265	295	265	340	265	295	340
837	265	295	265	340	265	295	340
838	266	296	266	340	266	296	340
839	266	296	266	340	266	296	340
840	266	296	266	340	266	296	340
841	266	296	266	340	266	296	340
842	266	296	266	340	266	296	340
843	266	296	266	340	266	296	340
844	266	296	266	340	266	296	340
845	266	296	266	340	266	296	340
846	266	296	266	340	266	296	340
847	266	296	266	340	266	296	340
848	266	296	266	340	266	296	340
849	266	296	266	340	266	296	340
850	266	296	266	340	266	296	340
851	266	296	266	340	266	296	340
852	266	296	266	340	266	296	340
853	266	296	266	340	266	296	340
854	266	296	266	340	266	296	340
