iter	Passed	Remaining
1444	30479	1160
1445	30498	1138
1446	30516	1117
1447	30533	1096
1448	30551	1075
1449	30570	1054
1450	30594	1033
1451	30611	1011
1452	30629	990
1453	30646	969
1454	30665	948
1455	30684	927
1456	30703	906
1457	30720	884
1458	30737	863
1459	30755	842
1460	30774	821
1461	30797	800
1462	30815	779
1463	30833	758
1464	30850	737
1465	30868	715
1466	30900	695
1467	30929	674
1468	30956	653
1469	30974	632
1470	30993	611
1471	31018	590
1472	31036	568
1473	31053	547
1474	31070	526
1475	31088	505
1476	31107	484
1477	31125	463
1478	31142	442
1479	31161	421
1480	31184	400
1481	31212	379
1482	31231	358
1483	31249	336
1484	31266	315
1485	31285	294
1486	31304	273
1487	31322	252
1488	31339	231
1489	31355	210
1490	31372	189
1491	31393	168
1492	31415	147
1493	31441	126
1494	31480	105
1495	31499	84
1496	31516	63
1497	31534	42
1498	31546	21
1499	31568	0
